SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
D915_03547	kinase domain	413	5	0	91.6	3	F:GO:0005524; F:GO:0004674; P:GO:0006468	F:ATP binding; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); PTHR24056:SF233 (PANTHER); PTHR24056 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_11955	Serine threonine- kinase Nek1	512	5	0	77.8	4	F:GO:0005524; C:GO:0016021; F:GO:0004674; P:GO:0006468	F:ATP binding; C:integral component of membrane; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); PIRSF000654 (PIRSF); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR43671:SF22 (PANTHER); PTHR43671 (PANTHER); IPR000719 (PROSITE_PROFILES); cd08215 (CDD); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_09101	Dual specificity mitogen-activated kinase kinase 6	340	5	0	76	3	F:GO:0004702; C:GO:0005737; P:GO:0016310	"F:signal transducer, downstream of receptor, with serine/threonine kinase activity; C:cytoplasm; P:phosphorylation"	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); PTHR24361:SF607 (PANTHER); PTHR24361 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_02728	kinase domain	259	5	0	73.2	5	F:GO:0000166; F:GO:0005524; F:GO:0004672; F:GO:0004674; P:GO:0006468	F:nucleotide binding; F:ATP binding; F:protein kinase activity; F:protein serine/threonine kinase activity; P:protein phosphorylation			IPR000719 (SMART); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); PTHR22971:SF4 (PANTHER); PTHR22971 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_08883	serine threonine kinase	237	5	3.45E-178	91.6	4	F:GO:0005524; F:GO:0004702; C:GO:0005737; P:GO:0023014	"F:ATP binding; F:signal transducer, downstream of receptor, with serine/threonine kinase activity; C:cytoplasm; P:signal transduction by protein phosphorylation"	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); PIRSF000654 (PIRSF); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); PTHR24361 (PANTHER); PTHR24361:SF413 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_12226	serine threonine kinase	202	5	5.90E-148	96.6	5	P:GO:0051301; F:GO:0005524; F:GO:0004693; P:GO:0051726; P:GO:0006468	P:cell division; F:ATP binding; F:cyclin-dependent protein serine/threonine kinase activity; P:regulation of cell cycle; P:protein phosphorylation	EC:2.7.11; EC:2.7.11.22	Transferring phosphorus-containing groups; Cyclin-dependent kinase	IPR000719 (SMART); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); PTHR24056:SF200 (PANTHER); PTHR24056 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_04801	Cyclin-dependent kinase-like 1	521	5	0	82.4	3	F:GO:0005524; F:GO:0004674; P:GO:0006468	F:ATP binding; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24056:SF222 (PANTHER); PTHR24056 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_06874	kinase domain	286	5	0	94.6	4	F:GO:0005524; F:GO:0004702; C:GO:0005737; P:GO:0023014	"F:ATP binding; F:signal transducer, downstream of receptor, with serine/threonine kinase activity; C:cytoplasm; P:signal transduction by protein phosphorylation"	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); PIRSF000654 (PIRSF); PTHR24361 (PANTHER); PTHR24361:SF652 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_01650	kinase domain	211	5	8.37E-155	91	3	F:GO:0005524; F:GO:0004674; P:GO:0006468	F:ATP binding; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); PTHR24056:SF0 (PANTHER); PTHR24056 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_11318	dual serine threonine and tyrosine kinase-like	237	5	9.26E-179	81.8	3	P:GO:0050794; F:GO:0004672; P:GO:0006468	P:regulation of cellular process; F:protein kinase activity; P:protein phosphorylation			IPR000719 (SMART); PIRSF000654 (PIRSF); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); PTHR13902 (PANTHER); PTHR13902:SF61 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_11910	kinase domain	485	5	0	81.4	3	F:GO:0005524; F:GO:0004674; P:GO:0006468	F:ATP binding; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24058:SF51 (PANTHER); PTHR24058 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_09467	serine threonine- kinase Sgk3-like	233	5	9.16E-171	62.8						G3DSA:3.30.200.20 (GENE3D); IPR036871 (G3DSA:3.30.1520.GENE3D); IPR000719 (PFAM); PTHR24356:SF121 (PANTHER); PTHR24356 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY); IPR036871 (SUPERFAMILY)	F:GO:0005524; F:GO:0035091; F:GO:0004672; P:GO:0006468	F:ATP binding; F:phosphatidylinositol binding; F:protein kinase activity; P:protein phosphorylation
D915_15777	kinase domain	332	5	0	77.4	3	F:GO:0004702; C:GO:0005737; P:GO:0006468	"F:signal transducer, downstream of receptor, with serine/threonine kinase activity; C:cytoplasm; P:protein phosphorylation"	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); PTHR24361 (PANTHER); PTHR24361:SF387 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_08055	serine threonine- kinase ULK4-like	273	5	0	78.2	2	P:GO:0016310; F:GO:0016301	P:phosphorylation; F:kinase activity			PIRSF000654 (PIRSF); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); PTHR22983 (PANTHER); PTHR22983:SF15 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_11680	Ribosomal S6 kinase 2 alpha	449	5	0	83.4	5	F:GO:0005524; F:GO:0004674; P:GO:0018105; C:GO:0005622; P:GO:0035556	F:ATP binding; F:protein serine/threonine kinase activity; P:peptidyl-serine phosphorylation; C:intracellular; P:intracellular signal transduction	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR24356 (PANTHER); PTHR24356:SF151 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_08782	serine threonine kinase	509	5	0	86	10	C:GO:0005634; F:GO:0005524; F:GO:0004679; C:GO:0005737; F:GO:0035174; P:GO:0006468; P:GO:0032007; P:GO:0035556; P:GO:0042149; C:GO:0031588	C:nucleus; F:ATP binding; F:AMP-activated protein kinase activity; C:cytoplasm; F:histone serine kinase activity; P:protein phosphorylation; P:negative regulation of TOR signaling; P:intracellular signal transduction; P:cellular response to glucose starvation; C:nucleotide-activated protein kinase complex	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); IPR032270 (PFAM); G3DSA:3.30.310.80 (GENE3D); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24343 (PANTHER); PTHR24343:SF303 (PANTHER); IPR000719 (PROSITE_PROFILES); cd12122 (CDD); cd14336 (CDD); IPR011009 (SUPERFAMILY); IPR028375 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_09025	kinase domain	328	5	0	77	3	F:GO:0000166; F:GO:0004672; P:GO:0016310	F:nucleotide binding; F:protein kinase activity; P:phosphorylation			IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); PTHR24056 (PANTHER); PTHR24056:SF335 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_00586	Serine:threonine kinase PLK4	614	5	0	73.6	6	F:GO:0000166; F:GO:0005524; F:GO:0004672; P:GO:0016310; P:GO:0006468; F:GO:0016301	F:nucleotide binding; F:ATP binding; F:protein kinase activity; P:phosphorylation; P:protein phosphorylation; F:kinase activity			G3DSA:1.10.510.10 (GENE3D); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); IPR033700 (PTHR24345:PANTHER); PTHR24345 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; C:GO:0005814; P:GO:0007099; F:GO:0004672; P:GO:0006468; F:GO:0004674	F:ATP binding; C:centriole; P:centriole replication; F:protein kinase activity; P:protein phosphorylation; F:protein serine/threonine kinase activity
D915_07963	kinase domain	411	5	0	83	7	F:GO:0003677; F:GO:0005524; C:GO:0016021; F:GO:0004672; F:GO:0015171; P:GO:0006468; P:GO:0003333	F:DNA binding; F:ATP binding; C:integral component of membrane; F:protein kinase activity; F:amino acid transmembrane transporter activity; P:protein phosphorylation; P:amino acid transmembrane transport			IPR000719 (SMART); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); PTHR24058:SF53 (PANTHER); PTHR24058 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_12300	serine threonine kinase	420	5	0	76.6	4	F:GO:0000166; C:GO:0016020; F:GO:0004674; P:GO:0006468	F:nucleotide binding; C:membrane; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); PTHR24055:SF79 (PANTHER); PTHR24055 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_00705	kinase domain	429	5	0	86.2	5	P:GO:0051301; F:GO:0005524; F:GO:0004693; P:GO:0051726; P:GO:0006468	P:cell division; F:ATP binding; F:cyclin-dependent protein serine/threonine kinase activity; P:regulation of cell cycle; P:protein phosphorylation	EC:2.7.11; EC:2.7.11.22	Transferring phosphorus-containing groups; Cyclin-dependent kinase	IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); PTHR24056 (PANTHER); PTHR24056:SF233 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_08108	kinase domain	795	5	0	62.4	6	F:GO:0000166; F:GO:0005524; F:GO:0004672; P:GO:0016310; P:GO:0006468; F:GO:0016301	F:nucleotide binding; F:ATP binding; F:protein kinase activity; P:phosphorylation; P:protein phosphorylation; F:kinase activity			IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24361 (PANTHER); PTHR24361:SF637 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_00377	proviral integration site 1	758	5	0	86	3	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation			IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR22984:SF11 (PANTHER); PTHR22984 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_08719	Cyclin-dependent kinase	1083	5	0	81.8	3	F:GO:0005524; F:GO:0004674; P:GO:0006468	F:ATP binding; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24056:SF174 (PANTHER); PTHR24056 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_06234	Cell division cycle 7-related kinase	531	5	0	75.8	2	P:GO:0016310; F:GO:0016301	P:phosphorylation; F:kinase activity			IPR000719 (SMART); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR11909:SF7 (PANTHER); PTHR11909 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_07737	serine threonine- kinase Doa	212	5	4.87E-157	96.8	3	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation			IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); PTHR24058:SF0 (PANTHER); PTHR24058 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_06854	kinase domain	456	5	0	88	3	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation			G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); PTHR22974 (PANTHER); PTHR22974:SF23 (PANTHER); IPR000719 (PROSITE_PROFILES); cd13990 (CDD); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_12397	citron Rho-interacting kinase	341	5	0	83.6	7	F:GO:0005524; C:GO:0005815; P:GO:0007020; C:GO:0000922; F:GO:0004672; F:GO:0043015; P:GO:0006468	F:ATP binding; C:microtubule organizing center; P:microtubule nucleation; C:spindle pole; F:protein kinase activity; F:gamma-tubulin binding; P:protein phosphorylation			IPR000719 (SMART); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR22988 (PANTHER); PTHR22988:SF40 (PANTHER); IPR000961 (PROSITE_PROFILES); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468; F:GO:0004674	F:ATP binding; F:protein kinase activity; P:protein phosphorylation; F:protein serine/threonine kinase activity
D915_14452	kinase domain	328	5	0	70	5	F:GO:0005524; F:GO:0004672; P:GO:0016310; P:GO:0006468; F:GO:0016301	F:ATP binding; F:protein kinase activity; P:phosphorylation; P:protein phosphorylation; F:kinase activity			IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); PTHR22984 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_08810	serine threonine- kinase	411	5	0	78.8	3	F:GO:0005524; F:GO:0004674; P:GO:0006468	F:ATP binding; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24055 (PANTHER); PTHR24055:SF79 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_09348	Serine threonine- kinase	220	5	3.05E-163	75.8	2	F:GO:0016301; P:GO:0009987	F:kinase activity; P:cellular process			IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR24356:SF210 (PANTHER); PTHR24356 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_08074	kinase domain	592	5	0	82.4	3	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation			IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); PF12330 (PFAM); G3DSA:3.30.200.20 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24056:SF125 (PANTHER); PTHR24056 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_11728	serine threonine- kinase ULK2	395	5	0	77.2	5	F:GO:0000166; F:GO:0005524; F:GO:0004672; F:GO:0004674; P:GO:0006468	F:nucleotide binding; F:ATP binding; F:protein kinase activity; F:protein serine/threonine kinase activity; P:protein phosphorylation			IPR000719 (SMART); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); PTHR24348:SF36 (PANTHER); PTHR24348 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_06296	kinase domain	503	5	0	84	3	F:GO:0005524; F:GO:0004674; P:GO:0006468	F:ATP binding; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); PTHR24056:SF174 (PANTHER); PTHR24056 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_02324	kinase domain	275	5	2.09E-178	89	4	P:GO:0051301; F:GO:0005524; F:GO:0004674; P:GO:0006468	P:cell division; F:ATP binding; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); PTHR24056:SF233 (PANTHER); PTHR24056 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_09389	kinase domain	545	5	0	75.2	1	F:GO:0016301	F:kinase activity			IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24057 (PANTHER); IPR000719 (PROSITE_PROFILES); cd14137 (CDD); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_04988	glycogen synthase kinase-3 alpha	465	5	0	88.6	4	F:GO:0050321; F:GO:0005524; F:GO:0004674; P:GO:0006468	F:tau-protein kinase activity; F:ATP binding; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11; EC:2.7.11.26	Transferring phosphorus-containing groups; [Tau protein] kinase	IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24057:SF14 (PANTHER); PTHR24057 (PANTHER); IPR000719 (PROSITE_PROFILES); cd14137 (CDD); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_11628	kinase domain	233	5	4.96E-154	82.4	4	F:GO:0005524; F:GO:0004702; C:GO:0005737; P:GO:0006468	"F:ATP binding; F:signal transducer, downstream of receptor, with serine/threonine kinase activity; C:cytoplasm; P:protein phosphorylation"	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); PTHR24361 (PANTHER); PTHR24361:SF195 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_08315	serine threonine- kinase chk2	285	5	0	79.6	3	F:GO:0000166; F:GO:0004672; P:GO:0016310	F:nucleotide binding; F:protein kinase activity; P:phosphorylation			IPR000719 (SMART); IPR000253 (SMART); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); IPR000253 (PFAM); G3DSA:2.60.200.20 (GENE3D); PTHR44167 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR000253 (PROSITE_PROFILES); IPR000253 (CDD); IPR008984 (SUPERFAMILY); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0005515; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein binding; F:protein kinase activity; P:protein phosphorylation
D915_07417	alpha subunit of casein kinase II	380	5	0	97	5	F:GO:0003676; F:GO:0005524; F:GO:0008270; F:GO:0004674; P:GO:0006468	F:nucleic acid binding; F:ATP binding; F:zinc ion binding; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR24054:SF28 (PANTHER); PTHR24054 (PANTHER); IPR000719 (PROSITE_PROFILES); cd14132 (CDD); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_05639	kinase domain	441	5	0	90	7	F:GO:0005524; P:GO:2000021; C:GO:0005829; F:GO:0004674; P:GO:0006468; P:GO:0032414; P:GO:0035556	F:ATP binding; P:regulation of ion homeostasis; C:cytosol; F:protein serine/threonine kinase activity; P:protein phosphorylation; P:positive regulation of ion transmembrane transporter activity; P:intracellular signal transduction	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR13902:SF12 (PANTHER); PTHR13902 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
